runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.007023,1,3,5148,20011,2591,2591,2591,2591,0,1,0,0,0,0,0,0,0,0,0,5.8e-05,0,0,0,0,1e-06,0.000204,0.000712,0.000869,0.07698,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,17
0.014047,1,3,7138,29066,4507,4507,4507,4507,0,1,0,0,0,0,0,0,0,0,0,0.000115,0,0,0,0,2e-06,0.000507,0.00129,0.001557,0.138682,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,31
0.007346,1,3,5322,20845,2763,2763,2763,2763,0,1,0,0,0,0,0,0,0,0,0,5.1e-05,0,0,0,0,2e-06,0.00023,0.00072,0.000898,0.087594,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,19
0.011612,1,3,6242,24825,3616,3616,3616,3616,0,1,0,0,0,0,0,0,0,0,0,0.000105,0,0,0,0,3e-06,0.000441,0.00112,0.001397,0.150455,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,26
0.014218,1,3,6819,27591,4190,4190,4190,4190,0,1,0,0,0,0,0,0,0,0,0,0.000115,0,0,0,0,3e-06,0.000486,0.001219,0.0015,0.153803,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,29
0.012861,1,3,6657,26788,4030,4030,4030,4030,0,1,0,0,0,0,0,0,0,0,0,9.1e-05,0,0,0,0,2e-06,0.000463,0.001204,0.001578,0.152433,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,27
0.009622,1,3,5737,22753,3172,3172,3172,3172,0,1,0,0,0,0,0,0,0,0,0,7.3e-05,0,0,0,0,0,0.000282,0.000829,0.000999,0.112673,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,25
0.065359,7,15,37978,110801,6999,6999,6997,6997,0,7,0,0,0,0,0,0,0,0,0,0.000436,0,0,0,0,1.7e-05,0.00472,0.036401,0.040207,0.189435,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,42
0.008392,1,3,5420,21323,2858,2858,2858,2858,0,1,0,0,0,0,0,0,0,0,0,5.9e-05,0,0,0,0,1e-06,0.000266,0.000799,0.001,0.099014,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,22
0.008524,1,3,5466,21558,2903,2903,2903,2903,0,1,0,0,0,0,0,0,0,0,0,6.3e-05,0,0,0,0,2e-06,0.000283,0.000803,0.000976,0.103974,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,23
0.049736,4,9,25923,77038,5340,5340,5338,5338,0,4,0,0,0,0,0,0,0,0,0,0.000247,0,0,0,0,1.1e-05,0.002395,0.026376,0.030248,0.176318,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,33
0.057045,4,9,26586,80011,5998,5998,5996,5996,0,4,0,0,0,0,0,0,0,0,0,0.000303,0,0,0,0,1.2e-05,0.002692,0.030191,0.032959,0.20214,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,38
0.013613,1,3,6839,27677,4209,4209,4209,4209,0,1,0,0,0,0,0,0,0,0,0,0.000108,0,0,0,0,2e-06,0.000468,0.001134,0.001428,0.136067,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,30
0.012315,1,3,6676,26874,4048,4048,4048,4048,0,1,0,0,0,0,0,0,0,0,0,9.9e-05,0,0,0,0,2e-06,0.000468,0.0011,0.00138,0.124876,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,28
0.04267,4,9,26035,77543,5451,5451,5449,5449,0,4,0,0,0,0,0,0,0,0,0,0.000233,0,0,0,0,8e-06,0.002362,0.02155,0.023767,0.16352,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,34
0.01531,1,3,7624,31311,4931,4931,4931,4931,0,1,0,0,0,0,0,0,0,0,0,0.00013,0,0,0,0,3e-06,0.000498,0.001195,0.001453,0.143535,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,32
0.046385,4,9,26741,80870,6153,6153,6151,6151,0,4,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,8e-06,0.00246,0.022359,0.025197,0.20815,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,39
0.044381,3,7,21039,66230,5737,5737,5735,5735,0,3,0,0,0,0,0,0,0,0,0,0.000239,0,0,0,0,7e-06,0.001906,0.019587,0.022153,0.191214,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,36
0.044543,4,9,26343,78891,5757,5757,5755,5755,0,4,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,8e-06,0.002365,0.021761,0.024497,0.167236,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,37
0.042348,4,9,26119,77935,5536,5536,5534,5534,0,4,0,0,0,0,0,0,0,0,0,0.000259,0,0,0,0,9e-06,0.002261,0.020523,0.023262,0.159615,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,35
0.068985,8,17,38224,111936,6791,6791,6789,6789,0,8,0,0,0,0,0,0,0,0,0,0.000524,0,0,0,0,1.8e-05,0.005353,0.03948,0.044577,0.184666,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,41
0.088343,8,17,37812,109992,6364,6364,6362,6362,0,8,0,0,0,0,0,0,0,0,0,0.000448,0,0,0,0,1.8e-05,0.005576,0.052767,0.061018,0.211866,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,40
0.069197,7,15,38361,112692,7393,7393,7391,7391,0,7,0,0,0,0,0,0,0,0,0,0.000471,0,0,0,0,1.2e-05,0.004991,0.037388,0.041429,0.211215,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,44
0.096621,8,17,38645,113991,7217,7217,7215,7215,0,8,0,0,0,0,0,0,0,0,0,0.000495,0,0,0,0,1.8e-05,0.006123,0.060186,0.066433,0.227546,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,43
0.120159,8,17,41124,125608,9529,9529,9527,9527,0,8,0,0,0,0,0,0,0,0,0,0.000803,0,0,0,0,2.1e-05,0.007606,0.068598,0.077692,0.27126,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,51
