Filename,AgentCount,RunID,PeakMemoryMB
Berlin_1_256.map,0,0,7.88
Berlin_1_256.map,0,1,0.14
Berlin_1_256.map,0,2,0.14
Berlin_1_256.map,0,3,0.17
Berlin_1_256.map,0,4,0.20
Berlin_1_256.map,0,5,0.11
Berlin_1_256.map,0,6,0.12
Berlin_1_256.map,0,7,0.11
Berlin_1_256.map,0,8,0.14
Berlin_1_256.map,0,9,0.11
Berlin_1_256.map,1,10,0.12
Berlin_1_256.map,1,11,0.19
Berlin_1_256.map,1,12,0.11
Berlin_1_256.map,1,13,0.14
Berlin_1_256.map,1,14,0.12
Berlin_1_256.map,1,15,0.12
Berlin_1_256.map,1,16,0.12
Berlin_1_256.map,1,17,0.12
Berlin_1_256.map,1,18,0.11
Berlin_1_256.map,1,19,0.11
Berlin_1_256.map,2,20,0.14
Berlin_1_256.map,2,21,0.11
Berlin_1_256.map,2,22,0.11
Berlin_1_256.map,2,23,0.14
Berlin_1_256.map,2,24,0.14
Berlin_1_256.map,2,25,0.12
Berlin_1_256.map,2,26,0.11
Berlin_1_256.map,2,27,0.14
Berlin_1_256.map,2,28,11.25
Berlin_1_256.map,2,29,0.14
Berlin_1_256.map,3,30,0.12
Berlin_1_256.map,3,31,0.12
Berlin_1_256.map,3,32,0.14
Berlin_1_256.map,3,33,0.12
Berlin_1_256.map,3,34,0.11
Berlin_1_256.map,3,35,0.11
Berlin_1_256.map,3,36,0.14
Berlin_1_256.map,3,37,0.14
Berlin_1_256.map,3,38,0.12
Berlin_1_256.map,3,39,0.14
Berlin_1_256.map,4,40,0.12
Berlin_1_256.map,4,41,0.14
Berlin_1_256.map,4,42,0.11
Berlin_1_256.map,4,43,0.11
Berlin_1_256.map,4,44,0.11
Berlin_1_256.map,4,45,11.67
Berlin_1_256.map,4,46,0.14
Berlin_1_256.map,4,47,0.14
Berlin_1_256.map,4,48,0.14
Berlin_1_256.map,4,49,0.12
Berlin_1_256.map,5,50,12.55
Berlin_1_256.map,5,51,12.08
Berlin_1_256.map,5,52,11.98
Berlin_1_256.map,5,53,12.42
Berlin_1_256.map,5,54,12.53
Berlin_1_256.map,5,55,12.31
Berlin_1_256.map,5,56,12.06
Berlin_1_256.map,5,57,12.23
Berlin_1_256.map,5,58,12.41
Berlin_1_256.map,5,59,12.42
Berlin_1_256.map,6,60,12.08
Berlin_1_256.map,6,61,12.03
Berlin_1_256.map,6,62,12.27
Berlin_1_256.map,6,63,12.31
Berlin_1_256.map,6,64,12.08
Berlin_1_256.map,6,65,12.00
Berlin_1_256.map,6,66,12.30
Berlin_1_256.map,6,67,12.27
Berlin_1_256.map,6,68,12.19
Berlin_1_256.map,6,69,12.00
Berlin_1_256.map,7,70,12.00
Berlin_1_256.map,7,71,12.23
Berlin_1_256.map,7,72,12.05
Berlin_1_256.map,7,73,12.02
Berlin_1_256.map,7,74,12.03
Berlin_1_256.map,7,75,11.98
Berlin_1_256.map,7,76,12.02
Berlin_1_256.map,7,77,12.27
Berlin_1_256.map,7,78,12.05
Berlin_1_256.map,7,79,12.27
Berlin_1_256.map,8,80,12.23
Berlin_1_256.map,8,81,11.98
Berlin_1_256.map,8,82,12.27
Berlin_1_256.map,8,83,12.33
Berlin_1_256.map,8,84,12.05
Berlin_1_256.map,8,85,12.14
Berlin_1_256.map,8,86,12.17
Berlin_1_256.map,8,87,10.39
Berlin_1_256.map,8,88,12.72
Berlin_1_256.map,8,89,12.73
Berlin_1_256.map,9,90,13.08
Berlin_1_256.map,9,91,13.06
Berlin_1_256.map,9,92,12.20
Berlin_1_256.map,9,93,11.95
Berlin_1_256.map,9,94,12.25
Berlin_1_256.map,9,95,12.22
Berlin_1_256.map,9,96,12.16
Berlin_1_256.map,9,97,12.14
Berlin_1_256.map,9,98,12.02
Berlin_1_256.map,9,99,12.27
Berlin_1_256.map,10,100,13.89
Berlin_1_256.map,10,101,13.34
Berlin_1_256.map,10,102,12.11
Berlin_1_256.map,10,103,12.22
Berlin_1_256.map,10,104,13.55
Berlin_1_256.map,10,105,14.11
Berlin_1_256.map,10,106,13.17
Berlin_1_256.map,10,107,12.08
Berlin_1_256.map,10,108,13.38
Berlin_1_256.map,10,109,13.11
Berlin_1_256.map,11,110,13.58
Berlin_1_256.map,11,111,13.38
Berlin_1_256.map,11,112,13.53
