Filename,AgentCount,RunID,PeakMemoryMB
Berlin_1_256.map,1,0,0.0
Berlin_1_256.map,2,1,0.40234375
Berlin_1_256.map,3,2,0.33203125
Berlin_1_256.map,4,3,0.31640625
Berlin_1_256.map,5,4,0.31640625
Berlin_1_256.map,6,5,0.32421875
Berlin_1_256.map,7,6,0.33203125
Berlin_1_256.map,8,7,0.27734375
Berlin_1_256.map,9,8,0.32421875
Berlin_1_256.map,10,9,0.328125
Berlin_1_256.map,11,10,0.33203125
Berlin_1_256.map,12,11,0.33203125
Berlin_1_256.map,13,12,0.33203125
Berlin_1_256.map,14,13,0.328125
Berlin_1_256.map,15,14,0.27734375
Berlin_1_256.map,16,15,8.52734375
Berlin_1_256.map,17,16,9.21875
Berlin_1_256.map,18,17,8.89453125
Berlin_1_256.map,19,18,8.93359375
Berlin_1_256.map,20,19,8.4140625
Berlin_1_256.map,21,20,8.65234375
Berlin_1_256.map,22,21,8.765625
Berlin_1_256.map,23,22,8.85546875
Berlin_1_256.map,24,23,9.33203125
Berlin_1_256.map,25,24,8.65234375
Berlin_1_256.map,26,25,9.1953125
Berlin_1_256.map,27,26,8.921875
Berlin_1_256.map,28,27,9.14453125
Berlin_1_256.map,29,28,9.20703125
Berlin_1_256.map,30,29,9.33203125
Berlin_1_256.map,31,30,8.546875
Berlin_1_256.map,32,31,13.9140625
Berlin_1_256.map,33,32,14.08203125
Berlin_1_256.map,34,33,14.375
Berlin_1_256.map,35,34,14.9140625
Berlin_1_256.map,36,35,13.39453125
Berlin_1_256.map,37,36,13.0703125
Berlin_1_256.map,38,37,13.77734375
Berlin_1_256.map,39,38,16.56640625
Berlin_1_256.map,40,39,17.2578125
Berlin_1_256.map,41,40,17.9140625
Berlin_1_256.map,42,41,18.359375
Berlin_1_256.map,43,42,18.2734375
Berlin_1_256.map,44,43,18.57421875
Berlin_1_256.map,45,44,18.08203125
Berlin_1_256.map,46,45,18.33203125
Berlin_1_256.map,47,46,18.765625
Berlin_1_256.map,48,47,18.703125
Berlin_1_256.map,49,48,19.09375
Berlin_1_256.map,50,49,19.3125
Berlin_1_256.map,51,50,20.6953125
Berlin_1_256.map,52,51,21.27734375
Berlin_1_256.map,53,52,21.171875
Berlin_1_256.map,54,53,21.59765625
Berlin_1_256.map,55,54,37.015625
Berlin_1_256.map,1,55,0.33203125
Berlin_1_256.map,2,56,0.2734375
Berlin_1_256.map,3,57,0.328125
Berlin_1_256.map,4,58,0.328125
Berlin_1_256.map,5,59,0.33203125
Berlin_1_256.map,6,60,0.40234375
Berlin_1_256.map,7,61,0.3203125
Berlin_1_256.map,8,62,0.33203125
Berlin_1_256.map,9,63,0.40234375
Berlin_1_256.map,10,64,0.33203125
Berlin_1_256.map,11,65,0.33203125
Berlin_1_256.map,12,66,0.27734375
Berlin_1_256.map,13,67,0.33203125
Berlin_1_256.map,14,68,0.40234375
Berlin_1_256.map,15,69,0.328125
Berlin_1_256.map,16,70,8.8515625
Berlin_1_256.map,17,71,8.83203125
Berlin_1_256.map,18,72,8.97265625
Berlin_1_256.map,19,73,8.51953125
Berlin_1_256.map,20,74,8.58203125
Berlin_1_256.map,21,75,9.6796875
Berlin_1_256.map,22,76,9.49609375
Berlin_1_256.map,23,77,9.671875
Berlin_1_256.map,24,78,9.75390625
Berlin_1_256.map,25,79,9.359375
Berlin_1_256.map,26,80,9.3984375
Berlin_1_256.map,27,81,9.6640625
Berlin_1_256.map,28,82,9.55859375
Berlin_1_256.map,29,83,9.83203125
Berlin_1_256.map,30,84,9.74609375
Berlin_1_256.map,31,85,9.50390625
Berlin_1_256.map,32,86,9.33984375
Berlin_1_256.map,33,87,9.68359375
Berlin_1_256.map,34,88,9.515625
Berlin_1_256.map,35,89,13.015625
Berlin_1_256.map,36,90,12.953125
Berlin_1_256.map,37,91,12.7578125
Berlin_1_256.map,38,92,12.765625
Berlin_1_256.map,39,93,13.34765625
Berlin_1_256.map,40,94,12.16015625
Berlin_1_256.map,41,95,13.47265625
Berlin_1_256.map,42,96,13.26953125
Berlin_1_256.map,43,97,16.8046875
Berlin_1_256.map,44,98,17.1875
Berlin_1_256.map,45,99,14.18359375
Berlin_1_256.map,46,100,14.9375
Berlin_1_256.map,47,101,14.90234375
Berlin_1_256.map,48,102,14.796875
Berlin_1_256.map,49,103,15.05859375
Berlin_1_256.map,50,104,14.8359375
Berlin_1_256.map,51,105,14.55859375
Berlin_1_256.map,52,106,19.5625
Berlin_1_256.map,53,107,17.44921875
Berlin_1_256.map,54,108,17.265625
Berlin_1_256.map,55,109,20.90234375
Berlin_1_256.map,56,110,18.0234375
Berlin_1_256.map,57,111,21.18359375
Berlin_1_256.map,58,112,21.45703125
Berlin_1_256.map,59,113,22.02734375
Berlin_1_256.map,60,114,22.109375
Berlin_1_256.map,61,115,21.04296875
Berlin_1_256.map,62,116,21.6484375
Berlin_1_256.map,63,117,22.3203125
Berlin_1_256.map,64,118,22.30859375
Berlin_1_256.map,65,119,21.8125
Berlin_1_256.map,66,120,23.5390625
Berlin_1_256.map,67,121,22.55078125
Berlin_1_256.map,68,122,25.296875
Berlin_1_256.map,69,123,25.4765625
Berlin_1_256.map,70,124,26.02734375
Berlin_1_256.map,71,125,25.7734375
Berlin_1_256.map,72,126,26.265625
