runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,standard conflicts,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.012707,1,3,7138,29066,4507,4507,4507,4507,1,9.3e-05,1e-06,0.000395,0.001109,0.001387,0.181137,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,31
0.013776,1,3,7624,31311,4931,4931,4931,4931,1,9.9e-05,2e-06,0.00046,0.00117,0.001456,0.175107,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,32
0.051585,4,9,25923,77038,5340,5340,5338,5338,4,0.000173,4e-06,0.001776,0.032487,0.034725,0.185539,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,33
0.063385,4,9,26035,77543,5451,5451,5449,5449,4,0.000185,4e-06,0.001872,0.032292,0.034389,0.19109,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,34
0.063625,4,9,26119,77935,5536,5536,5534,5534,4,0.000224,7e-06,0.003534,0.031563,0.035115,0.190944,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,35
0.04594,3,7,21039,66230,5737,5737,5735,5735,3,0.00017,3e-06,0.001567,0.027018,0.028506,0.210425,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,36
0.065252,4,9,26343,78891,5757,5757,5755,5755,4,0.000205,6e-06,0.002066,0.033272,0.035507,0.204518,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,37
0.056124,4,9,26586,80011,5998,5998,5996,5996,4,0.000284,8e-06,0.001988,0.02287,0.025147,0.205121,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,38
0.068793,4,9,26741,80870,6153,6153,6151,6151,4,0.000348,1e-05,0.004179,0.031195,0.036793,0.216683,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,39
0.142609,8,17,37812,109992,6364,6364,6362,6362,8,0.000781,3.7e-05,0.009991,0.091809,0.106156,0.221142,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,40
0.102327,8,17,38224,111936,6791,6791,6789,6789,8,0.000523,4e-05,0.006388,0.06217,0.068949,0.229446,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,41
0.091988,7,15,37978,110801,6999,6999,6997,6997,7,0.000539,2.2e-05,0.005916,0.053933,0.058101,0.242072,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,42
0.106638,8,17,38645,113991,7217,7217,7215,7215,8,0.000385,7e-06,0.004704,0.065114,0.069559,0.235785,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,43
0.110542,7,15,38361,112692,7393,7393,7391,7391,7,0.00038,1.1e-05,0.004459,0.067487,0.071732,0.237265,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,44
0.096732,7,15,33860,103615,7662,7662,7660,7660,7,0.000401,7e-06,0.004209,0.048201,0.052011,0.259843,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,45
0.119456,8,17,39303,117001,7822,7822,7820,7820,8,0.000552,1.4e-05,0.005198,0.046681,0.062925,0.262822,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,46
0.114524,8,17,39585,118357,8096,8096,8094,8094,8,0.000963,1.6e-05,0.008392,0.064402,0.074365,0.266193,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,47
0.092021,5,11,32082,99900,8514,8514,8512,8512,5,0.000402,7e-06,0.003326,0.045726,0.048943,0.268083,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,48
0.11374,6,13,37802,114524,8882,8882,8880,8880,6,0.000806,5.2e-05,0.005685,0.062266,0.070406,0.268238,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,49
0.094301,5,11,32900,103655,9264,9264,9262,9262,5,0.00061,8e-06,0.004253,0.04141,0.048761,0.280873,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,50
0.128275,8,17,41124,125608,9529,9529,9527,9527,8,0.000542,1e-05,0.006827,0.07711,0.082463,0.298423,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,51
0.146115,8,17,43171,130507,9881,9881,9879,9879,8,0.000566,1.1e-05,0.00763,0.087709,0.098474,0.305707,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,52
0.140884,8,17,41869,128995,10272,10272,10270,10270,8,0.000574,1e-05,0.006121,0.077257,0.082503,0.292118,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,53
0.125053,9,19,37822,122340,10327,10327,10325,10325,9,0.000615,7e-06,0.006796,0.058363,0.063698,0.313089,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,54
0.00026,0,1,424,1055,423,423,423,423,0,1e-06,0,0,0,0,0.004281,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,1
0.000686,0,1,767,2695,765,765,765,765,0,2e-06,0,0,0,0,0.008643,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,2
0.000996,0,1,1189,4687,1186,1186,1186,1186,0,2e-06,0,0,0,0,0.012861,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,3
0.001074,0,1,1210,4782,1206,1206,1206,1206,0,2e-06,0,0,0,0,0.017798,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,4
0.001211,0,1,1315,5256,1310,1310,1310,1310,0,3e-06,0,0,0,0,0.022288,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,5
0.001629,0,1,1336,5357,1330,1330,1330,1330,0,9e-06,0,0,0,0,0.026322,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,6
0.001494,0,1,1427,5803,1420,1420,1420,1420,0,5e-06,0,0,0,0,0.033822,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,7
0.00165,0,1,1500,6161,1492,1492,1492,1492,0,6e-06,0,0,0,0,0.037864,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,8
0.001932,0,1,1728,7257,1719,1719,1719,1719,0,8e-06,0,0,0,0,0.043269,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,9
0.002251,0,1,1947,8270,1937,1937,1937,1937,0,1e-05,0,0,0,0,0.046702,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,10
0.002398,0,1,2226,9611,2215,2215,2215,2215,0,1.2e-05,0,0,0,0,0.050357,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,11
0.003033,0,1,2371,10308,2359,2359,2359,2359,0,1.4e-05,0,0,0,0,0.061785,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,12
0.003688,0,1,2720,11945,2707,2707,2707,2707,0,1.8e-05,0,0,0,0,0.067101,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,13
0.015039,0,1,3150,13962,3136,3136,3136,3136,0,2.4e-05,0,0,0,0,0.073937,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,14
0.004293,0,1,3154,13978,3139,3139,3139,3139,0,2.6e-05,0,0,0,0,0.083028,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,15
0.016199,0,1,3382,15021,3366,3366,3366,3366,0,2.7e-05,0,0,0,0,0.078641,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,16
0.004942,0,1,3483,15514,3466,3466,3466,3466,0,2.9e-05,0,0,0,0,0.096705,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,17
0.012618,0,1,3498,15585,3480,3480,3480,3480,0,3.4e-05,0,0,0,0,0.101342,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,18
0.008443,0,1,3855,17334,3836,3836,3836,3836,0,4.1e-05,0,0,0,0,0.113895,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,19
0.017352,0,1,4321,19486,4301,4301,4301,4301,0,4.4e-05,0,0,0,0,0.113489,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,20
0.007188,0,1,4517,20417,4496,4496,4496,4496,0,5.1e-05,0,0,0,0,0.102916,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,21
0.00818,0,1,4659,21096,4629,4629,4629,4629,0,5.6e-05,0,0,0,0,0.10585,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,22
0.008078,0,1,4668,21137,4637,4637,4637,4637,0,5.8e-05,0,0,0,0,0.109728,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,23
0.009024,0,1,5105,23196,5073,5073,5073,5073,0,6.6e-05,0,0,0,0,0.114888,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,24
0.009426,0,1,5518,25182,5485,5485,5485,5485,0,6.6e-05,0,0,0,0,0.125468,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,25
0.010183,0,1,5614,25615,5580,5580,5580,5580,0,7.7e-05,0,0,0,0,0.126175,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,26
0.010949,0,1,6041,27648,6006,6006,6006,6006,0,8.7e-05,0,0,0,0,0.129727,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,27
0.012404,0,1,6302,28887,6266,6266,6266,6266,0,9.2e-05,0,0,0,0,0.140886,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,28
0.013766,0,1,6524,29895,6487,6487,6487,6487,0,0.000119,0,0,0,0,0.139666,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,29
0.0134,0,1,6782,31170,6744,6744,6744,6744,0,0.000112,0,0,0,0,0.145445,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,30
0.020608,0,1,7092,32648,7053,7053,7053,7053,0,0.000121,0,0,0,0,0.14572,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,31
0.014915,0,1,7151,32930,7111,7111,7111,7111,0,0.000117,0,0,0,0,0.175073,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,32
0.02021,0,1,7249,33410,7208,7208,7208,7208,0,0.00017,0,0,0,0,0.155007,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,33
0.027605,0,1,7390,34111,7348,7348,7348,7348,0,0.000124,0,0,0,0,0.167419,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,34
0.018282,0,1,7822,36150,7779,7779,7779,7779,0,0.000284,0,0,0,0,0.210402,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,35
0.030318,0,1,8095,37479,8051,8051,8051,8051,0,0.000165,0,0,0,0,0.214964,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,36
0.03267,0,1,8355,38734,8310,8310,8310,8310,0,0.000176,0,0,0,0,0.199789,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,37
0.031761,0,1,8494,39364,8448,8448,8448,8448,0,0.000182,0,0,0,0,0.225205,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,38
0.032401,0,1,8621,39969,8574,8574,8574,8574,0,0.00024,0,0,0,0,0.229366,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,39
0.031802,0,1,8795,40799,8747,8747,8747,8747,0,0.000196,0,0,0,0,0.232224,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,40
0.033005,0,1,9208,42745,9159,9159,9159,9159,0,0.00021,0,0,0,0,0.241985,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,41
0.036729,0,1,9348,43422,9298,9298,9298,9298,0,0.000451,0,0,0,0,0.242546,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,42
0.037189,0,1,9700,45107,9647,9647,9647,9647,0,0.000241,0,0,0,0,0.249879,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,43
0.050897,0,1,10020,46617,9966,9966,9966,9966,0,0.000255,0,0,0,0,0.252227,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,44
0.026448,0,1,10355,48205,10300,10300,10300,10300,0,0.000271,0,0,0,0,0.233902,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,45
0.034324,0,1,10392,48374,10336,10336,10336,10336,0,0.000273,0,0,0,0,0.218433,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,46
0.035356,0,1,10628,49503,10571,10571,10571,10571,0,0.000262,0,0,0,0,0.226227,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,47
0.036394,0,1,10968,51089,10910,10910,10910,10910,0,0.000299,0,0,0,0,0.233545,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,48
0.037126,0,1,11125,51841,11066,11066,11066,11066,0,0.000299,0,0,0,0,0.232759,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,49
0.049176,0,1,11534,53795,11474,11474,11474,11474,0,0.00051,0,0,0,0,0.242184,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,50
0.042401,1,3,12349,57670,11605,11605,11605,11605,1,0.000382,2e-06,0.00079,0.002257,0.002771,0.242757,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,51
0.049658,2,5,13928,63753,11879,11879,11878,11878,2,0.000411,2e-06,0.001613,0.005493,0.006611,0.248431,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,52
0.071778,2,5,13993,64045,11941,11941,11940,11940,2,0.000468,4e-06,0.003804,0.016371,0.017562,0.304829,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,53
0.069627,2,5,14240,65237,12187,12187,12186,12186,2,0.000508,5e-06,0.003289,0.017346,0.01857,0.322898,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,54
0.072896,2,5,14577,66762,12527,12527,12526,12526,2,0.000483,4e-06,0.00188,0.013605,0.019358,0.323242,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,55
0.072416,2,5,14617,66989,12568,12568,12567,12567,2,0.000517,2e-06,0.001733,0.005768,0.006899,0.307636,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,56
0.0872,2,5,14736,67543,12682,12682,12681,12681,2,0.000472,2e-06,0.00177,0.005891,0.007145,0.323553,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,57
0.074866,2,5,15188,69647,13131,13131,13130,13130,2,0.000479,0,0.001762,0.005879,0.007103,0.341604,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,58
0.0757,2,5,15191,69729,13133,13133,13132,13132,2,0.000528,1e-06,0.001955,0.006066,0.00726,0.33209,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,59
0.079229,2,5,15214,69758,13161,13161,13160,13160,2,0.000527,2e-06,0.002745,0.015954,0.017265,0.329579,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,60
0.076084,2,5,15414,70757,13358,13358,13357,13357,2,0.000571,2e-06,0.001861,0.005963,0.007167,0.359141,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,61
0.090881,2,5,15472,71038,13413,13413,13412,13412,2,0.000814,3e-06,0.005022,0.018134,0.019476,0.348637,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,62
0.093916,2,5,15893,72978,13833,13833,13832,13832,2,0.001706,5e-06,0.002269,0.006634,0.007883,0.340589,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,63
0.089839,3,7,16451,75620,13887,13887,13886,13886,3,0.000627,3e-06,0.003125,0.008903,0.010554,0.369292,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,64
0.09974,3,7,16631,76514,14066,14066,14065,14065,3,0.000665,8e-06,0.00337,0.021447,0.023699,0.373357,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,65
0.112928,3,7,16694,76842,14128,14128,14127,14127,3,0.000732,6e-06,0.003438,0.020992,0.024326,0.376447,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,66
0.088117,3,7,16934,77887,14337,14337,14336,14336,3,0.000668,4e-06,0.003237,0.009262,0.010895,0.393718,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,67
0.228861,15,31,36888,133064,14405,14405,14400,14400,15,0.001224,2.2e-05,0.017522,0.12164,0.14306,0.391804,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,68
0.200064,15,31,36984,133613,14506,14506,14501,14501,15,0.001308,2e-05,0.022671,0.108662,0.117919,0.400948,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,69
0.208078,15,31,37136,134294,14651,14651,14646,14646,15,0.001294,2.5e-05,0.021798,0.101193,0.123742,0.413324,CBS with AStar,scenesinput/Berlin_1_256-even-2.scen:,70
