runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.021919,1,3,6847,27687,4209,4209,4209,4209,0,1,0,0,0,0,0,0,0,0,0,9.8e-05,0,0,0,0,2e-06,0.000764,0.002415,0.002435,0.343719,CBS with AStar,agents.txt:,30
0.02256,1,3,7146,29076,4507,4507,4507,4507,0,1,0,0,0,0,0,0,0,0,0,0.000104,0,0,0,0,1e-06,0.000776,0.002373,0.002393,0.348734,CBS with AStar,agents.txt:,31
0.024745,1,3,7626,31314,4931,4931,4931,4931,0,1,0,0,0,0,0,0,0,0,0,0.000117,0,0,0,0,1e-06,0.000815,0.002538,0.002559,0.366611,CBS with AStar,agents.txt:,32
0.048302,3,7,20642,64366,5340,5340,5338,5338,0,3,0,0,0,0,0,0,0,0,0,0.000193,0,0,0,0,4e-06,0.002675,0.021552,0.021647,0.4042,CBS with AStar,agents.txt:,33
0.062281,4,9,26037,77473,5451,5451,5449,5449,0,4,0,0,0,0,0,0,0,0,0,0.000279,0,0,0,0,1.1e-05,0.003793,0.033064,0.033243,0.40795,CBS with AStar,agents.txt:,34
0.065792,4,9,26121,77799,5536,5536,5534,5534,0,4,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,8e-06,0.003664,0.032639,0.032793,0.428864,CBS with AStar,agents.txt:,35
0.063048,4,9,26325,78844,5737,5737,5735,5735,0,4,0,0,0,0,0,0,0,0,0,0.000252,0,0,0,0,9e-06,0.003781,0.0317,0.031839,0.449764,CBS with AStar,agents.txt:,36
0.054236,3,7,21061,66271,5757,5757,5755,5755,0,3,0,0,0,0,0,0,0,0,0,0.000224,0,0,0,0,6e-06,0.002849,0.022189,0.022281,0.428067,CBS with AStar,agents.txt:,37
0.065181,4,9,26586,80096,5998,5998,5996,5996,0,4,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,8e-06,0.004008,0.032092,0.032231,0.429233,CBS with AStar,agents.txt:,38
0.068639,4,9,26743,80791,6153,6153,6151,6151,0,4,0,0,0,0,0,0,0,0,0,0.000269,0,0,0,0,7e-06,0.004127,0.032692,0.032825,0.452213,CBS with AStar,agents.txt:,39
0.105156,8,17,39530,113340,6364,6364,6362,6362,0,8,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,2.4e-05,0.008732,0.066147,0.06654,0.471992,CBS with AStar,agents.txt:,40
0.105433,7,15,37768,109765,6791,6791,6789,6789,0,7,0,0,0,0,0,0,0,0,0,0.0005,0,0,0,0,2.2e-05,0.008362,0.0619,0.062297,0.497094,CBS with AStar,agents.txt:,41
0.103824,7,15,37984,110694,6999,6999,6997,6997,0,7,0,0,0,0,0,0,0,0,0,0.000462,0,0,0,0,1.5e-05,0.008031,0.061414,0.06175,0.518684,CBS with AStar,agents.txt:,42
0.076727,4,9,25459,81019,7217,7217,7215,7215,0,4,0,0,0,0,0,0,0,0,0,0.000368,0,0,0,0,1.1e-05,0.004873,0.034086,0.034294,0.500795,CBS with AStar,agents.txt:,43
0.131136,12,25,50844,146884,7393,7393,7391,7391,0,12,0,0,0,0,0,0,0,0,0,0.000564,0,0,0,0,2e-05,0.013942,0.086692,0.087096,0.507743,CBS with AStar,agents.txt:,44
0.129868,11,23,45808,135443,7662,7662,7660,7660,0,11,0,0,0,0,0,0,0,0,0,0.000659,0,0,0,0,2.3e-05,0.013495,0.081337,0.081835,0.543749,CBS with AStar,agents.txt:,45
0.095605,6,13,32076,99770,7822,7822,7820,7820,0,6,0,0,0,0,0,0,0,0,0,0.000494,0,0,0,0,1.2e-05,0.007418,0.046705,0.046993,0.546116,CBS with AStar,agents.txt:,46
0.121287,9,19,40480,122532,8096,8096,8094,8094,0,9,0,0,0,0,0,0,0,0,0,0.000647,0,0,0,0,2.5e-05,0.011694,0.07,0.070497,0.544606,CBS with AStar,agents.txt:,47
0.09767,5,11,27504,90487,8514,8514,8512,8512,0,5,0,0,0,0,0,0,0,0,0,0.000515,0,0,0,0,1.7e-05,0.007089,0.044851,0.045138,0.578815,CBS with AStar,agents.txt:,48
0.116487,7,15,35334,110568,8882,8882,8880,8880,0,7,0,0,0,0,0,0,0,0,0,0.000657,0,0,0,0,1.8e-05,0.009971,0.058351,0.058788,0.577188,CBS with AStar,agents.txt:,49
